SOURCE_FILE,TOTAL_TRAJETS,NB_DISTANCES_NULLES_OU_NEGATIVES,NB_DISTANCES_EXORBITANTES,DISTANCE_LA_PLUS_LONGUE,TRAJETS_GRATUITS_LONGUE_DISTANCE
yellow_tripdata_2025-04.parquet,3970553,91439,306,386088.43,19820
yellow_tripdata_2026-01.parquet,3724889,125738,162,269097.48,10064
yellow_tripdata_2024-02.parquet,3007526,68225,71,222478.29,6207
yellow_tripdata_2024-09.parquet,3633030,81121,167,330397.59,12535
yellow_tripdata_2024-05.parquet,3723833,49791,154,249151.44,9701
yellow_tripdata_2024-11.parquet,3646369,68315,148,398608.62,12569
yellow_tripdata_2024-12.parquet,3668371,75450,129,328827.63,15105
yellow_tripdata_2025-05.parquet,4591845,141121,370,263103.98,44763
yellow_tripdata_2024-07.parquet,3076903,48045,159,326505.45,11327
yellow_tripdata_2024-10.parquet,3833771,81639,129,366343.04,13255
yellow_tripdata_2024-06.parquet,3539193,52954,169,195916.81,9935
yellow_tripdata_2025-10.parquet,4428699,125599,229,276333.48,51174
yellow_tripdata_2024-01.parquet,2964624,60371,59,312722.3,6006
yellow_tripdata_2025-07.parquet,3898963,123774,274,397994.37,25793
yellow_tripdata_2024-03.parquet,3582628,87168,122,176836.3,8650
yellow_tripdata_2024-04.parquet,3514289,45813,150,270766.8,9059
yellow_tripdata_2025-08.parquet,3574091,105184,245,274082.38,40722
yellow_tripdata_2026-02.parquet,3399866,123250,172,328522.2,6360
yellow_tripdata_2025-03.parquet,4145257,103722,214,320136.29,17877
yellow_tripdata_2025-11.parquet,4181444,109420,223,256067.65,79218
yellow_tripdata_2025-06.parquet,4322960,134896,264,261262.39,24874
yellow_tripdata_2026-03.parquet,3952451,121210,161,288381.68,4408
yellow_tripdata_2024-08.parquet,2979183,57413,156,327025.19,12594
yellow_tripdata_2025-12.parquet,4305006,152656,197,322576.17,12080
yellow_tripdata_2025-02.parquet,3577543,99771,172,228782.51,14823
yellow_tripdata_2025-01.parquet,3475226,90893,162,276423.57,16180
yellow_tripdata_2025-09.parquet,4251015,124483,214,318608.57,26440
yellow_tripdata_2026-04.parquet,3800664,93150,136,281576.08,2959
